keyword,count
new,14
world,13
man,11
family,11
life,11
young,8
first,7
love,6
town,6
dangerous,6
powerful,6
past,5
mission,5
against,5
finds,5
back,5
daughter,5
game,5
cobb,5
neo,5
vito,5
war,4
zootopia,4
nick,4
find,4
mystery,4
turns,4
go,4
unexpected,4
jake,4
people,4
fight,4
freddy,4
about,4
series,4
two,4
old,4
however,4
nora,4
merv,4
up,4
may,4
together,4
planning,4
under,4
state,4
last,4
human,4
crime,4
struggling,4
while,4
lives,4
team,4
interstellar,4
could,4
dome,4
white,4
brutal,3
between,3
mysterious,3
battle,3
yet,3
survival,3
2,3
case,3
judy,3
themselves,3
embarks,3
journey,3
real,3
wake,3
loss,3
son,3
power,3
ruthless,3
future,3
year,3
secrets,3
decades,3
move,3
dream,3
unravel,3
treacherous,3
lead,3
good,3
other,3
surviving,3
evil,3
goes,3
father,3
city,3
needs,3
job,3
once,3
part,3
himself,3
become,3
deadly,3
1999,3
mafia,3
